"Fighter","Opponent","Date","Country","WT_Class","Height","Weight","Birthdate","Team","Nickname","Stance","Reach","Decision","Rnd","Time","Event","Res","SDBL","SDB_A","SDHL","SDH_A","SDLL","SDL_A","TSL","TS_A","SSL","SS_A","X.Total_Strikes","KD","X.BODY","X.HEAD","X.LEG","SCBL","SCB_A","SCHL","SCH_A","SCLL","SCL_A","RV","SR","TDL","TD_A","TDS","X.TK_ACC","SGBL","SGB_A","SGHL","SGH_A","SGLL","SGL_A","AD","ADTB","ADHG","ADTM","ADTS","SM","Southpaw_Stance","Orthodox_Stance","Switch_Stance","Time_Seconds","Total_Fight_Time_Seconds","Decision_Unanimous","KO_TKO","Submission","Decision_Split","No_Contest","Draw","Decision_Majority","TKO_Doctors_Stoppage","Africa","Asia","Europe","North_America","South_America","Oceania","X.Significant_Strikes","X.Clinch_Body_Strikes","X.Clinch_Head_Strikes","X.Clinch_Leg_Strikes","X.Ground_Body_Strikes","X.Ground_Head_Strikes","X.Ground_Leg_Strikes","Results","Continent"
"Ode Osbourne","Manel Kape",2017-09-16,"Jamaica","Flyweight",67,125,1986-10-02,"Syndicate MMA","The Jamaican Sensation","Southpaw",73,"KO/TKO",1,"4:44","UFC 265: Lewis vs. Gane","L",6,8,9,25,3,5,18,38,18,38,47,0,75,36,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,284,284,0,1,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0,0,0,0,0,0,"North America"
"Yana Santos","Irene Aldana",2017-09-16,"Russia","Women's Bantamweight",66,144,1986-07-20,"American Top Team","Foxy","Orthodox",68,"KO/TKO",1,"4:35","UFC 264: Poirier vs. McGregor 3","L",5,7,6,25,7,9,30,58,24,49,51,0,75,29,78,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,275,275,0,1,0,0,0,0,0,0,0,1,0,0,0,0,48,80,66,0,0,0,0,0,"Asia"
"Dricus Du Plessis","Trevin Giles",2016-08-06,"South Africa","Middleweight",73,184,1985-11-09,"CIT Performance Institute","Stilknocks","Switch",76,"KO/TKO",2,"1:41","UFC 264: Poirier vs. McGregor 3","W",7,10,4,18,11,15,26,49,25,48,53,1,70,30,73,0,0,0,0,0,0,1,0,2,4,0,50,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,101,401,0,1,0,0,0,0,0,0,1,0,0,0,0,0,52,0,0,0,0,60,0,1,"Africa"
"Tai Tuivasa","Greg Hardy",2022-11-05,"Australia","Heavyweight",74,265,1996-08-03,"Lions High Performance Centre","Bam Bam","Southpaw",75,"KO/TKO",1,"1:07","UFC 264: Poirier vs. McGregor 3","W",0,1,3,12,6,7,11,23,11,23,47,1,0,33,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,67,67,0,1,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,66,0,1,"Oceania"
"Gilbert Burns","Stephen Thompson",2022-11-05,"Brazil","Welterweight",70,171,1987-08-03,"Kill Cliff FC","Durinho","Orthodox",71,"Decision - Unanimous",3,"5:00","UFC 264: Poirier vs. McGregor 3","W",1,3,5,17,10,10,101,126,29,43,80,0,50,59,100,0,0,0,0,0,0,0,0,3,6,0,50,1,1,12,12,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,67,0,0,0,100,100,0,1,"South America"
"Sean O'Malley","Kris Moutinho",2019-09-21,"USA","Bantamweight",71,135,1985-01-12,"MMA Lab","Sugar","Orthodox",72,"KO/TKO",3,"4:33","UFC 264: Poirier vs. McGregor 3","W",44,53,176,253,8,8,230,318,230,318,0,1,82,69,100,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,273,873,0,1,0,0,0,0,0,0,0,0,0,1,0,0,72,50,100,0,0,0,0,1,"North America"
"Leon Edwards","Nate Diaz",2019-09-21,"England","Welterweight",74,170,1991-04-20,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",5,"5:00","UFC 263: Adesanya vs. Vettori 2","W",6,12,39,83,23,23,83,139,77,132,59,0,50,50,100,0,0,4,6,0,0,0,0,4,5,0,80,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,300,1500,1,0,0,0,0,0,0,0,0,0,1,0,0,0,58,0,66,0,0,62,0,1,"Europe"
"Belal Muhammad","Demian Maia",2019-09-21,"Palestine","Welterweight",71,169,1993-08-09,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00","UFC 263: Adesanya vs. Vettori 2","W",3,4,36,115,4,4,92,177,45,127,51,0,75,32,100,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,50,0,0,0,0,1,"Asia"
"Deiveson Figueiredo","Brandon Moreno",2021-05-08,"Brazil","Bantamweight",65,135,1987-08-03,"Team Figueiredo","Deus da Guerra","Orthodox",68,"Submission",3,"2:26","UFC 263: Adesanya vs. Vettori 2","L",8,9,4,14,2,2,33,45,24,36,73,0,92,45,100,1,1,0,0,0,0,0,0,1,1,0,100,2,2,5,6,2,2,0,0,0,0,0,0,0,1,0,146,746,0,0,1,0,0,0,0,0,0,0,0,0,1,0,66,100,0,0,100,83,100,0,"South America"
"Pannie Kianzad","Alexis Davis",2016-04-10,"Sweden","Women's Bantamweight",67,136,1991-02-18,"Arte Suave Copenhagen","Banzai","Orthodox",66,"Decision - Unanimous",3,"5:00","UFC 263: Adesanya vs. Vettori 2","W",23,36,98,209,1,1,124,249,124,249,49,0,63,47,100,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,49,50,100,0,0,0,0,1,"Europe"
"Israel Adesanya","Marvin Vettori",2016-04-10,"Nigeria","Middleweight",76,185,1985-11-09,"City Kickboxing","The Last Stylebender","Switch",80,"Decision - Unanimous",5,"5:00","UFC 263: Adesanya vs. Vettori 2","W",11,20,33,105,41,43,122,208,96,181,58,0,55,37,95,0,0,10,11,0,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,300,1500,1,0,0,0,0,0,0,0,1,0,0,0,0,0,53,0,90,0,0,50,0,1,"Africa"
"Tony Ferguson","Beneil Dariush",2016-04-10,"USA","Lightweight",71,155,1984-03-16,"Team Death Clutch","El Cucuy","Orthodox",76,"Decision - Unanimous",3,"5:00","UFC 262: Oliveira vs. Chandler","L",2,6,10,31,5,5,27,58,20,50,46,0,29,34,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,42,0,0,"North America"
"Matt Schnell","Rogerio Bontorin",2023-05-13,"USA","Flyweight",68,125,1990-01-06,"American Top Team","Danger","Orthodox",70,"No Contest",3,"5:00","UFC 262: Oliveira vs. Chandler","D",16,20,35,99,6,6,113,184,65,135,61,0,84,36,100,5,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,0,0,0,0,1,0,0,0,0,0,0,1,0,0,48,100,60,0,0,0,0,0,"North America"
"Jessica Andrade","Valentina Shevchenko",2023-05-13,"Brazil","Strawweight",61,115,1988-03-17,"PRVT","Bate Estaca","Orthodox",62,"KO/TKO",2,"3:19","UFC 261: Usman vs. Masvidal 2","L",2,2,2,6,0,1,47,55,10,15,85,0,100,33,0,6,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,199,499,0,1,0,0,0,0,0,0,0,0,0,0,1,0,66,100,0,0,0,0,0,0,"South America"
"Valentina Shevchenko","Jessica Andrade",2021-02-27,"Kyrgyzstan","Women's Flyweight",65,125,1988-03-17,"Tiger Muay Thai","Bullet","Southpaw",66,"KO/TKO",2,"3:19","UFC 261: Usman vs. Masvidal 2","W",1,1,7,13,1,1,90,97,32,39,92,0,100,79,100,2,2,2,3,1,1,0,0,7,7,0,100,0,0,18,18,0,0,0,0,0,0,0,1,1,0,0,199,499,0,1,0,0,0,0,0,0,0,1,0,0,0,0,82,100,66,100,0,100,0,1,"Asia"
"Modestas Bukauskas","Michal Oleksiejczuk",2024-03-02,"Lithuania","Light Heavyweight",75,204,1995-07-24,"Gintas Combat","The Baltic Gladiator","Switch",78,"Decision - Split",3,"5:00","UFC 260: Miocic vs. Ngannou 2","L",14,21,41,138,0,0,62,172,58,167,36,0,67,30,0,0,0,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,900,0,0,0,1,0,0,0,0,0,0,1,0,0,0,34,0,37,0,0,0,0,0,"Europe"
"Michal Oleksiejczuk","Modestas Bukauskas",2024-03-02,"Poland","Middleweight",72,185,2000-07-30,"Ankos MMA","Hussar","Southpaw",74,"Decision - Split",3,"5:00","UFC 260: Miocic vs. Ngannou 2","W",23,26,30,93,0,0,77,144,56,122,53,0,90,32,100,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300,900,0,0,0,1,0,0,0,0,0,0,1,0,0,0,45,100,0,0,0,0,0,1,"Europe"
"Alonzo Menifield","Fabio Cherant",2024-03-02,"USA","Light Heavyweight",72,205,1996-01-03,"Fortis MMA","Atomic","Orthodox",76,"Submission",1,"1:11","UFC 260: Miocic vs. Ngannou 2","W",0,0,3,3,0,0,3,3,3,3,100,0,0,100,0,0,0,0,0,0,0,0,0,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,71,71,0,0,1,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,0,1,"North America"
"Sean O'Malley","Thomas Almeida",2024-03-02,"USA","Bantamweight",71,135,1990-02-10,"MMA Lab","Sugar","Orthodox",72,"KO/TKO",3,"3:52","UFC 260: Miocic vs. Ngannou 2","W",22,27,40,98,21,21,91,157,86,149,0,2,83,41,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,232,832,0,1,0,0,0,0,0,0,0,0,0,1,0,0,57,100,0,0,0,100,0,1,"North America"
"Israel Adesanya","Jan Blachowicz",2024-03-02,"Nigeria","Middleweight",76,185,1995-09-07,"City Kickboxing","The Last Stylebender","Switch",80,"Decision - Unanimous",5,"5:00","UFC 259: Blachowicz vs. Adesanya","L",17,23,31,99,29,36,99,182,78,161,54,0,74,31,81,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,1,300,1500,1,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0,0,0,50,100,0,0,"Africa"
"Kai Kara-France","Rogerio Bontorin",2024-03-02,"New Zealand","Flyweight",64,125,1995-07-27,"City Kickboxing","Don't Blink","Orthodox",69,"KO/TKO",1,"4:55","UFC 259: Blachowicz vs. Adesanya","W",2,2,6,15,3,3,21,32,13,22,65,1,100,47,100,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,295,295,0,1,0,0,0,0,0,0,0,0,0,0,0,1,59,0,100,0,0,0,0,1,"Oceania"
"Sean Brady","Jake Matthews",2024-03-02,"USA","Welterweight",70,170,1988-03-17,"Marquez MMA","0","Orthodox",72,"Submission",3,"3:28","UFC 259: Blachowicz vs. Adesanya","W",0,0,8,34,13,15,133,187,37,68,71,0,100,44,87,0,0,0,0,0,0,1,0,1,1,0,100,1,1,15,18,0,0,0,0,0,0,0,1,0,1,0,208,808,0,0,1,0,0,0,0,0,0,0,0,1,0,0,54,0,0,0,100,83,0,1,"North America"
"Belal Muhammad","Dhiego Lima",2024-03-02,"Palestine","Welterweight",71,169,1990-01-15,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00","UFC 258: Usman vs. Burns","W",18,29,100,218,0,1,136,284,129,264,47,0,64,47,0,2,2,9,14,0,0,0,0,1,10,0,10,2,2,10,10,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,1,0,0,0,0,48,100,64,0,100,100,0,1,"Asia"
"Chris Gutierrez","Andre Ewell",2024-03-02,"USA","Bantamweight",69,136,1987-11-19,"FactoryX Muay Thai","El Guapo","Orthodox",67,"Decision - Unanimous",3,"5:00","UFC 258: Usman vs. Burns","W",11,17,19,54,31,45,72,131,69,126,54,1,67,39,70,3,4,4,5,1,1,0,0,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,54,75,80,100,0,0,0,1,"North America"
"Gilbert Burns","Kamaru Usman",2021-06-05,"Brazil","Welterweight",70,171,1992-02-17,"Kill Cliff FC","Durinho","Orthodox",71,"KO/TKO",3,"0:34","UFC 258: Usman vs. Burns","L",12,13,18,72,14,19,55,124,45,108,44,0,93,24,74,1,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,634,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41,100,0,0,0,0,0,0,"South America"
"Alexa Grasso","Maycee Barber",2020-01-25,"Mexico","Women's Flyweight",65,125,1994-01-22,"Lobo Gym MMA","0","Orthodox",66,"Decision - Unanimous",3,"5:00","UFC 258: Usman vs. Burns","W",1,3,19,48,5,10,95,162,38,81,58,0,64,42,50,8,11,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,46,72,55,0,0,0,0,1,"North America"
"Marcin Prachnio","Khalil Rountree Jr.",2016-02-27,"Poland","Light Heavyweight",75,205,1994-01-22,"Tatsujin Dojo","Pressure","Orthodox",74,"Decision - Unanimous",3,"5:00","UFC 257: Poirier vs. McGregor 2","W",29,39,31,126,40,46,105,220,102,216,47,0,74,25,87,0,0,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,47,0,40,0,0,0,0,1,"Europe"
"Dan Hooker","Michael Chandler",2021-06-05,"New Zealand","Lightweight",72,155,1985-11-09,"City Kickboxing","The Hangman","Orthodox",75,"KO/TKO",1,"2:30","UFC 257: Poirier vs. McGregor 2","L",0,1,0,6,8,12,8,19,8,19,42,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,150,0,1,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,"Oceania"
"Daniel Pineda","Cub Swanson",2021-06-05,"USA","Featherweight",67,146,1996-09-04,"4oz Fight Club","The Pit","Orthodox",69,"KO/TKO",2,"1:52","UFC 256: Figueiredo vs. Moreno","L",2,3,8,27,9,13,40,65,21,45,61,0,75,32,69,1,1,1,1,0,0,0,0,1,2,0,50,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,112,412,0,1,0,0,0,0,0,0,0,0,0,1,0,0,46,100,100,0,100,100,0,0,"North America"
"Deiveson Figueiredo","Brandon Moreno",2021-06-05,"Brazil","Bantamweight",65,135,1988-03-17,"Team Figueiredo","Deus da Guerra","Orthodox",68,"Draw",5,"5:00","UFC 256: Figueiredo vs. Moreno","D",34,45,82,163,10,12,147,248,137,238,59,0,76,51,83,0,0,3,7,0,0,0,0,2,4,0,50,0,0,8,11,0,0,1,0,1,0,1,0,0,1,0,300,1500,0,0,0,0,0,1,0,0,0,0,0,0,1,0,57,0,42,0,0,72,0,0,"South America"
"Tony Ferguson","Charles Oliveira",2021-06-05,"USA","Lightweight",71,155,1995-02-21,"Team Death Clutch","El Cucuy","Orthodox",76,"Decision - Unanimous",3,"5:00","UFC 256: Figueiredo vs. Moreno","L",5,5,1,18,0,0,37,59,15,34,62,0,100,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,1,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,44,0,100,0,0,80,0,0,"North America"
"Mackenzie Dern","Virna Jandiroba",2017-09-22,"USA","Women's Featherweight",64,115,1991-09-25,"RVCA","","Orthodox",63,"Decision - Unanimous",3,"5:00","UFC 256: Figueiredo vs. Moreno","W",4,9,28,140,4,6,80,209,49,174,38,0,40,26,67,0,1,1,2,0,0,1,0,1,8,0,12,0,0,12,16,0,0,0,0,0,0,1,1,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,50,0,0,75,0,1,"North America"
"Sam Hughes","Tecia Pennington",2021-07-24,"USA","Women's Featherweight",65,114,1992-04-20,"Fortis MMA","Sampage","Orthodox",64,"TKO - Doctor's Stoppage",1,"5:00","UFC 256: Figueiredo vs. Moreno","L",1,2,9,33,9,17,26,59,20,53,44,0,67,27,53,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,300,0,0,0,0,0,0,0,1,0,0,0,1,0,0,37,100,0,0,0,0,0,0,"North America"
"Deiveson Figueiredo","Alex Perez",2023-08-05,"Brazil","Bantamweight",65,135,1996-08-03,"Team Figueiredo","Deus da Guerra","Orthodox",68,"Submission",1,"1:57","UFC 255: Figueiredo vs. Perez","W",3,4,2,4,0,0,5,8,5,8,62,0,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,117,117,0,0,1,0,0,0,0,0,0,0,0,0,1,0,62,0,0,0,0,0,0,1,"South America"
"Valentina Shevchenko","Jennifer Maia",2023-08-05,"Kyrgyzstan","Women's Flyweight",65,125,1992-04-20,"Tiger Muay Thai","Bullet","Southpaw",66,"Decision - Unanimous",5,"5:00","UFC 255: Figueiredo vs. Perez","W",8,11,39,89,3,3,249,317,62,119,78,0,81,46,100,5,5,5,9,0,0,0,0,5,6,0,83,0,0,2,2,0,0,3,1,0,0,2,0,1,0,0,300,1500,1,0,0,0,0,0,0,0,0,1,0,0,0,0,52,100,55,0,0,100,0,1,"Asia"
"Nathaniel Wood","Casey Kenney",2023-08-05,"England","Featherweight",66,145,1988-08-08,"Great Britain Top Team","The Prospect","Orthodox",69,"Decision - Unanimous",3,"5:00","UFC 254: Khabib vs. Gaethje","L",8,21,69,235,57,62,138,325,136,321,42,0,41,30,92,1,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,42,100,50,0,0,0,0,0,"Europe"
"Joel Alvarez","Alexander Yakovlev",2023-08-05,"Spain","Lightweight",75,155,1991-09-25,"LifeStyle","El Fenomeno","Orthodox",77,"KO/TKO",1,"3:00","UFC 254: Khabib vs. Gaethje","W",10,12,21,44,5,5,44,73,44,73,60,0,86,50,100,2,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180,180,0,1,0,0,0,0,0,0,0,0,1,0,0,0,60,100,60,0,0,0,0,1,"Europe"
"Tai Tuivasa","Stefan Struve",2023-08-05,"Australia","Heavyweight",74,265,1994-12-30,"Lions High Performance Centre","Bam Bam","Southpaw",75,"KO/TKO",1,"4:59","UFC 254: Khabib vs. Gaethje","W",1,1,5,17,8,10,48,63,27,42,76,1,100,54,80,3,3,7,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,299,299,0,1,0,0,0,0,0,0,0,0,0,0,0,1,64,100,87,0,0,100,0,1,"Oceania"
"Jared Cannonier","Robert Whittaker",2023-08-05,"USA","Middleweight",71,185,1992-01-09,"MMA Lab","The Killa Gorilla","Orthodox",77,"Decision - Unanimous",3,"5:00","UFC 254: Khabib vs. Gaethje","L",11,15,16,44,22,25,58,94,53,89,61,0,78,37,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,59,0,0,0,0,0,0,0,"North America"
"Israel Adesanya","Paulo Costa",2022-09-17,"Nigeria","Middleweight",76,185,1992-02-17,"City Kickboxing","The Last Stylebender","Switch",80,"KO/TKO",2,"3:59","UFC 253: Adesanya vs. Costa","W",4,5,15,39,26,27,55,84,55,84,65,1,83,47,96,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,239,539,0,1,0,0,0,0,0,0,1,0,0,0,0,0,65,100,50,0,0,50,0,1,"Africa"
"Kai Kara-France","Brandon Royval",2022-09-17,"New Zealand","Flyweight",64,125,1992-04-20,"City Kickboxing","Don't Blink","Orthodox",69,"Submission",2,"0:48","UFC 253: Adesanya vs. Costa","L",1,1,11,25,9,9,22,39,22,38,56,1,100,43,100,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,348,0,0,1,0,0,0,0,0,0,0,0,0,0,1,57,0,33,0,0,0,0,0,"Oceania"
"Daniel Pineda","Herbert Burns",2022-09-17,"USA","Featherweight",67,146,1995-09-07,"4oz Fight Club","The Pit","Orthodox",69,"KO/TKO",2,"4:37","UFC 252: Miocic vs. Cormier 3","W",2,3,3,7,3,3,173,205,57,75,84,0,57,77,100,0,0,1,1,0,0,1,0,1,2,0,50,1,1,3,3,0,0,0,0,0,0,0,1,0,1,0,277,577,0,1,0,0,0,0,0,0,0,0,0,1,0,0,76,0,100,0,100,100,0,1,"North America"
"Marlon Vera","Sean O'Malley",2022-09-17,"Ecuador","Bantamweight",68,136,1988-08-08,"RVCA","Chito","Switch",70,"KO/TKO",1,"4:40","UFC 252: Miocic vs. Cormier 3","W",2,8,0,4,9,10,18,30,18,30,60,0,40,50,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,6,0,0,0,0,0,0,0,0,0,0,1,280,280,0,1,0,0,0,0,0,0,0,0,0,0,1,0,60,0,0,0,100,83,0,1,"South America"
"Jairzinho Rozenstruik","Junior Dos Santos",2022-09-17,"Suriname","Heavyweight",74,260,1999-07-07,"American Top Team","Bigi Boy","Orthodox",78,"KO/TKO",2,"3:47","UFC 252: Miocic vs. Cormier 3","W",1,2,9,24,20,23,42,66,42,66,63,1,50,51,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,1,0,227,527,0,1,0,0,0,0,0,0,0,0,0,0,1,0,63,0,0,0,0,70,0,1,"South America"
"Herbert Burns","Daniel Pineda",2022-03-12,"Brazil","Featherweight",69,145,1989-04-12,"Kill Cliff FC","The Blaze","Orthodox",73,"KO/TKO",2,"4:37","UFC 252: Miocic vs. Cormier 3","L",0,2,3,11,2,2,35,48,10,22,72,0,40,40,100,1,2,0,0,0,0,0,0,3,4,0,75,1,1,3,4,0,0,4,1,2,1,0,0,0,1,0,277,577,0,1,0,0,0,0,0,0,0,0,0,0,1,0,45,50,0,0,100,75,0,0,"South America"
"Sean O'Malley","Marlon Vera",2022-03-12,"USA","Bantamweight",71,135,1995-09-07,"MMA Lab","Sugar","Orthodox",72,"KO/TKO",1,"4:40","UFC 252: Miocic vs. Cormier 3","L",4,6,3,12,3,3,10,21,10,21,0,0,67,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,280,280,0,1,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0,0,0,0,0,0,"North America"
"Merab Dvalishvili","John Dodson",2022-03-12,"Georgia","Bantamweight",66,135,1988-08-08,"Serra-Longo Fight Team","The Machine","Orthodox",68,"Decision - Unanimous",3,"5:00","UFC 252: Miocic vs. Cormier 3","W",4,9,14,92,7,7,88,171,50,133,51,0,44,17,100,0,0,2,2,23,23,0,0,2,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,100,100,0,0,0,1,"Asia"
"Marcin Tybura","Maxim Grishin",2022-08-06,"Poland","Heavyweight",75,247,1995-02-22,"Ankos MMA","Tybur","Orthodox",78,"Decision - Unanimous",3,"5:00","UFC 251: Usman vs. Masvidal","W",4,8,6,22,4,7,70,119,24,52,58,0,56,42,57,1,1,5,10,0,0,0,0,3,7,0,43,0,0,4,4,0,0,4,1,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,46,100,50,0,0,100,0,1,"Europe"
"Karol Rosa","Vanessa Melo",2022-08-06,"Brazil","Women's Bantamweight",65,135,1995-01-24,"Parana Vale Tudo","0","Orthodox",67,"Decision - Unanimous",3,"5:00","UFC 251: Usman vs. Masvidal","W",10,15,50,131,27,32,177,289,120,228,61,0,69,46,84,1,1,0,0,0,0,0,0,2,4,0,50,0,0,32,49,0,0,1,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,52,100,0,0,0,65,0,1,"South America"
"Jessica Andrade","Rose Namajunas",2020-11-07,"Brazil","Strawweight",61,115,1988-08-25,"PRVT","Bate Estaca","Orthodox",62,"Decision - Split",3,"5:00","UFC 251: Usman vs. Masvidal","L",22,52,27,126,15,16,79,213,71,205,37,0,46,23,94,3,3,4,8,0,0,0,0,1,3,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,300,900,0,0,0,1,0,0,0,0,0,0,0,0,1,0,34,100,50,0,0,0,0,0,"South America"
"Cory Sandhagen","Aljamain Sterling",2021-10-02,"USA","Bantamweight",71,136,1994-12-30,"Elevation Fight Team","","Switch",70,"Submission",1,"1:28","UFC 250: Nunes vs. Spencer","L",1,1,0,1,0,0,1,2,1,2,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,88,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0,0,0,"North America"
"Alonzo Menifield","Devin Clark",2021-10-02,"USA","Light Heavyweight",72,205,1997-10-07,"Fortis MMA","Atomic","Orthodox",76,"Decision - Unanimous",3,"5:00","UFC 250: Nunes vs. Spencer","L",0,1,11,42,2,2,54,103,39,85,52,0,75,41,100,6,7,20,33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,45,85,60,0,0,0,0,0,"North America"
"Herbert Burns","Evan Dunham",2019-08-10,"Brazil","Featherweight",69,145,1991-04-22,"Kill Cliff FC","The Blaze","Orthodox",73,"Submission",1,"1:20","UFC 250: Nunes vs. Spencer","W",1,2,3,5,0,1,8,13,5,10,61,0,33,67,0,0,1,0,0,0,0,0,0,1,1,0,100,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,80,80,0,0,1,0,0,0,0,0,0,0,0,0,1,0,50,0,0,0,0,100,0,1,"South America"
"Neil Magny","Anthony Rocco Martin",2019-08-10,"USA","Welterweight",75,170,1986-07-20,"Elevation Fight Team","The Haitian Sensation","Orthodox",80,"Decision - Unanimous",3,"5:00","UFC 250: Nunes vs. Spencer","W",9,12,23,62,16,19,82,130,64,110,63,0,85,43,85,8,8,7,8,1,1,0,0,0,6,0,0,0,0,14,15,2,2,2,2,1,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,58,100,87,100,0,93,100,1,"North America"
